"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42295","successful login test","chromium","2026-09-04","broken","2026-09-04","","ui/loginpage.spec.ts","",""
"","42320","@regression Home Page HeadersIs Logout link present","chromium","2026-09-04","broken","2026-09-04","","ui/homepagefix.spec.ts","",""
"","42374","@smoke home page title test","chromium","2026-09-04","broken","2026-09-04","","ui/homepage.spec.ts","",""
"","706","Update a user test","chromium","2026-09-04","passed","2026-09-04","","api/users.api.spec.ts","",""
"","40149","@smoke Is Logout link present","chromium","2026-09-04","broken","2026-09-04","","ui/homepagefix.spec.ts","",""
"","42221","@smoke @regression verify product results - MacBook Pro","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","42320","login page title test","chromium","2026-09-04","broken","2026-09-04","","ui/loginpage.spec.ts","",""
"","42302","@regression forgot password link exists test","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","1","Excel Invalid login test with data driven testtest1@abc.com","chromium","2026-09-04","skipped","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","714","Delete a user test","chromium","2026-09-04","passed","2026-09-04","","api/users.api.spec.ts","",""
"","40157","@smoke Home Page HeadersIs Logout link present","chromium","2026-09-04","broken","2026-09-04","","ui/homepage.spec.ts","",""
"","356","create a user test","chromium","2026-09-04","passed","2026-09-04","","api/users.api.spec.ts","",""
"","40175","@smoke Is Company Logo Visisble on product page","chromium","2026-09-04","broken","2026-09-04","","ui/productpage.spec.ts","",""
"","42279","@regression verify product images data","chromium","2026-09-04","broken","2026-09-04","","ui/productpage.spec.ts","",""
"","0","DELETE Request - 1","chromium","2026-09-04","skipped","2026-09-04","","api/user.api.final.spec.ts","",""
"","40165","@smoke @regression verify search with product - airtel - null","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","0","POST Request - 1","chromium","2026-09-04","skipped","2026-09-04","","api/user.api.final.spec.ts","",""
"","42318","@regression JSON Invalid login test with data driven nouser@test.com","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","369","GET - get a users array","chromium","2026-09-04","passed","2026-09-04","","api/users.schema.api.spec.ts","",""
"","40152","@regression CSV Invalid login test with data driven testtest1@abc.com","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","254","@regression Mock search data api","chromium","2026-09-04","passed","2026-09-04","","api/interception.spec.ts","",""
"","0","Excel Invalid login test with data driven test12312@abc.com","chromium","2026-09-04","skipped","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","42163","@smoke @regression verify product results - iMac","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","42286","@smoke @regression verify search with product - macbook - MacBook Air","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","358","DELETE USer Request","chromium","2026-09-04","passed","2026-09-04","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","0","PATCH Request - 1","chromium","2026-09-04","skipped","2026-09-04","","api/user.api.final.spec.ts","",""
"","42328","@regression CSV Invalid login test with data driven test12312@abc.com","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","42289","@smoke Is Logout link present","chromium","2026-09-04","broken","2026-09-04","","ui/homepage.spec.ts","",""
"","57","@regression GET -- get location data","chromium","2026-09-04","passed","2026-09-04","","api/amadeus.oauth2.spec.ts","",""
"","42267","@smoke footers count on product page","chromium","2026-09-04","broken","2026-09-04","","ui/productpage.spec.ts","",""
"","40165","@smoke @regression verify product results - MacBook Air","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","933","POST Request","chromium","2026-09-04","passed","2026-09-04","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","42323","@smoke successful login test","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","42292","@regression JSON Invalid login test with data driven aing@test.com","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","40159","@smoke home page title test","chromium","2026-09-04","broken","2026-09-04","","ui/homepagefix.spec.ts","",""
"","40159","@regression nvalid login test with data driven","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","42331","@regression JSON Invalid login test with data driven abcd@test.com","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","1327","Get Request","chromium","2026-09-04","passed","2026-09-04","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","0","Excel Invalid login test with data driven invaliduser123@gmail.com","chromium","2026-09-04","skipped","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","40143","@regression CSV Invalid login test with data driven invaliduser123@gmail.com","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","42326","forgot password link exists test","chromium","2026-09-04","broken","2026-09-04","","ui/loginpage.spec.ts","",""
"","0","PUT Request - 1","chromium","2026-09-04","skipped","2026-09-04","","api/user.api.final.spec.ts","",""
"","40270","@regression verify product Information/Data","chromium","2026-09-04","broken","2026-09-04","","ui/productpage.spec.ts","",""
"","361","PUT Request","chromium","2026-09-04","passed","2026-09-04","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","40147","@smoke intercept and log the request","chromium","2026-09-04","broken","2026-09-04","","api/interception.spec.ts","",""
"","42319","@smoke login page title test","chromium","2026-09-04","broken","2026-09-04","","ui/loginpagefixture.spec.ts","",""
"","42261","@smoke @regression verify search with product - imac - iMac","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","42277","@smoke @regression verify search with product - macbook - MacBook Pro","chromium","2026-09-04","broken","2026-09-04","","ui/search.spec.ts","",""
"","353","GET Users","chromium","2026-09-04","passed","2026-09-04","","api/users.api.spec.ts","",""
"","740","GET - get a user","chromium","2026-09-04","passed","2026-09-04","","api/users.schema.api.spec.ts","",""
