"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2136","@smoke login page title test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","2736","@smoke successful login test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","793","Get Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","2912","@smoke intercept and log the request","chromium","2026-09-05","passed","2026-09-05","","api/interception.spec.ts","",""
"","3908","@smoke @regression verify product results - iMac","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","3808","@smoke @regression verify product results - MacBook Air","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","370","DELETE USer Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","2655","@smoke Is Company Logo Visisble on product page","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","8384","@smoke @regression verify search with product - imac - iMac","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","8463","@smoke @regression verify search with product - macbook - MacBook Pro","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","2787","@smoke Is Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","8253","@smoke @regression verify search with product - airtel - null","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","383","POST Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","3085","@smoke home page title test","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","2858","@smoke Is Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","2743","@smoke footers count on product page","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","3970","@smoke @regression verify product results - MacBook Pro","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","8313","@smoke @regression verify search with product - macbook - MacBook Air","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","377","PUT Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","2821","@smoke Home Page HeadersIs Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","2801","@smoke home page title test","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
