"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3447","@smoke Is Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","346","PUT Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","3656","@smoke home page title test","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","403","POST Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","4796","@smoke @regression verify product results - MacBook Pro","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","360","DELETE USer Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","3550","@smoke footers count on product page","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","3476","@smoke successful login test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","9008","@smoke @regression verify search with product - macbook - MacBook Air","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","3527","@smoke Is Company Logo Visisble on product page","chromium","2026-09-05","passed","2026-09-05","","ui/productpage.spec.ts","",""
"","3615","@smoke Is Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","1242","Get Request","chromium","2026-09-05","passed","2026-09-05","@smoke running end to end go rest CRUD API test","api/users.api.fixture.spec.ts","",""
"","3335","@smoke home page title test","chromium","2026-09-05","passed","2026-09-05","","ui/homepagefix.spec.ts","",""
"","8916","@smoke @regression verify search with product - imac - iMac","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","4785","@smoke @regression verify product results - MacBook Air","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","2848","@smoke intercept and log the request","chromium","2026-09-05","passed","2026-09-05","","api/interception.spec.ts","",""
"","2341","@smoke login page title test","chromium","2026-09-05","passed","2026-09-05","","ui/loginpagefixture.spec.ts","",""
"","4614","@smoke @regression verify product results - iMac","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","9311","@smoke @regression verify search with product - macbook - MacBook Pro","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
"","3514","@smoke Home Page HeadersIs Logout link present","chromium","2026-09-05","passed","2026-09-05","","ui/homepage.spec.ts","",""
"","9099","@smoke @regression verify search with product - airtel - null","chromium","2026-09-05","passed","2026-09-05","","ui/search.spec.ts","",""
